vid,japanese,reading,meaning,type,category,subcategory,level,samplesentence,sentencehiragana,sentencemeaning
w095,時間,じかん,time; hours,noun,work,時間,14,時間は大切です。,じかんは たいせつです。,Time is precious.
w096,何時,なんじ,what time,counter,work,時間,14,今、何時ですか。,いま、なんじですか。,What time is it now?
w097,何分,なんぷん,how many minutes,counter,work,時間,14,駅まで何分ですか。,えきまで なんぷんですか。,How many minutes is it to the station?
w098,～時,～じ,[number] o'clock,suffix,work,時間,14,七時に起きます。,しちじに おきます。,I wake up at seven.
w099,一時,いちじ,one o'clock,counter,work,時間,14,一時に昼ご飯を食べます。,いちじに ひるごはんを たべます。,I eat lunch at one.
w100,二時,にじ,two o'clock,counter,work,時間,14,二時に友達に会います。,にじに ともだちに あいます。,I meet my friend at two.
w101,三時,さんじ,three o'clock,counter,work,時間,14,三時に休みます。,さんじに やすみます。,I take a break at three.
w102,四時,よじ,four o'clock,counter,work,時間,14,四時に家へ帰ります。,よじに いえへ かえります。,I go home at four.
w103,五時,ごじ,five o'clock,counter,work,時間,14,五時の空が好きです。,ごじの そらが すきです。,I like the five-o'clock sky.
w104,六時,ろくじ,six o'clock,counter,work,時間,14,六時に朝ご飯を食べます。,ろくじに あさごはんを たべます。,I eat breakfast at six.
w105,七時,しちじ,seven o'clock,counter,work,時間,14,七時の駅は人が多いです。,しちじの えきは ひとが おおいです。,The station is crowded at seven.
w106,八時,はちじ,eight o'clock,counter,work,時間,14,八時から仕事です。,はちじから しごとです。,Work starts at eight.
w107,九時,くじ,nine o'clock,counter,work,時間,14,九時に本を読みます。,くじに ほんを よみます。,I read a book at nine.
w108,十時,じゅうじ,ten o'clock,counter,work,時間,14,十時になりました。,じゅうじに なりました。,It has become ten o'clock.
w109,十一時,じゅういちじ,eleven o'clock,counter,work,時間,14,十一時まで勉強します。,じゅういちじまで べんきょうします。,I study until eleven.
w110,十二時,じゅうにじ,twelve o'clock,counter,work,時間,14,十二時になりました。もう寝ます。,じゅうにじに なりました。もう ねます。,It's twelve o'clock. I'm going to bed now.
w111,～分,～ふん/～ぷん,[number] minutes,suffix,work,時間,14,五分だけ待ってください。,ごふんだけ まって ください。,Please wait just five minutes.
w112,一分,いっぷん,one minute,counter,work,時間,14,一分だけ時間があります。,いっぷんだけ じかんが あります。,I have just one minute.
w113,二分,にふん,two minutes,counter,work,時間,14,二分歩いて、駅に着きます。,にふん あるいて、えきに つきます。,I walk for two minutes and arrive at the station.
w114,三分,さんぷん,three minutes,counter,work,時間,14,三分だけ休みます。,さんぷんだけ やすみます。,I'll rest for just three minutes.
w115,四分,よんぷん,four minutes,counter,work,時間,14,四分待ちました。,よんぷん まちました。,I waited for four minutes.
w116,五分,ごふん,five minutes,counter,work,時間,14,五分でも大切な時間です。,ごふんでも たいせつな じかんです。,Even five minutes is precious time.
w117,六分,ろっぷん,six minutes,counter,work,時間,14,六分歩いて、家に帰ります。,ろっぷん あるいて、いえに かえります。,I walk for six minutes and go home.
w118,七分,ななふん,seven minutes,counter,work,時間,14,七分ぐらい待ちます。,ななふん ぐらい まちます。,I'll wait about seven minutes.
w119,八分,はっぷん,eight minutes,counter,work,時間,14,八分だけ本を読みます。,はっぷんだけ ほんを よみます。,I'll read for just eight minutes.
w120,九分,きゅうふん,nine minutes,counter,work,時間,14,九分ぐらい歩きます。,きゅうふん ぐらい あるきます。,I'll walk for about nine minutes.
w121,十分,じゅっぷん,ten minutes,counter,work,時間,14,十分あればできます。,じゅっぷん あれば できます。,"If I have ten minutes, I can do it."
w122,十一分,じゅういっぷん,eleven minutes,counter,work,時間,14,十一分待ちました。,じゅういっぷん まちました。,I waited for eleven minutes.
w123,十二分,じゅうにふん,twelve minutes,counter,work,時間,14,十二分歩いて、駅に着きました。,じゅうにふん あるいて、えきに つきました。,I walked for twelve minutes and arrived at the station.
w124,十五分,じゅうごふん,fifteen minutes,counter,work,時間,14,十五分だけ話しませんか。,じゅうごふんだけ はなしませんか。,Shall we talk for just fifteen minutes?
w125,二十分,にじゅっぷん,twenty minutes,counter,work,時間,14,二十分本を読みました。,にじゅっぷん ほんを よみました。,I read for twenty minutes.
w126,三十分,さんじゅっぷん,thirty minutes,counter,work,時間,14,三十分歩きました。,さんじゅっぷん あるきました。,I walked for thirty minutes.
w127,四十分,よんじゅっぷん,forty minutes,counter,work,時間,14,四十分勉強しました。,よんじゅっぷん べんきょうしました。,I studied for forty minutes.
w128,四十五分,よんじゅうごふん,forty-five minutes,counter,work,時間,14,四十五分待ちました。,よんじゅうごふん まちました。,I waited for forty-five minutes.
w129,五十分,ごじゅっぷん,fifty minutes,counter,work,時間,14,五十分ぐらいかかります。,ごじゅっぷん ぐらい かかります。,It takes about fifty minutes.
w130,半,はん,half; half past,suffix,work,時間,14,今、九時半です。,いま、くじはんです。,It's half past nine now.
w131,～ごろ,～ごろ,around; approximately,suffix,work,時間,14,七時ごろに家へ帰ります。,しちじごろに いえへ かえります。,I'll go home around seven.
w132,午前,ごぜん,a.m.; morning,noun,work,時間,14,午前の空が好きです。,ごぜんの そらが すきです。,I like the morning sky.
w133,午後,ごご,p.m.; afternoon,noun,work,時間,14,午後は少し休みます。,ごごは すこし やすみます。,I rest a little in the afternoon.
w134,今,いま,now,noun,work,時間,14,今を大切にしたいです。,いまを たいせつに したいです。,I want to cherish the present.
w135,～ぐらい,～ぐらい,about; approximately,suffix,work,時間,14,十分ぐらい休みます。,じゅっぷん ぐらい やすみます。,I'll rest for about ten minutes.
w136,何時間,なんじかん,how many hours,counter,work,時間,14,何時間寝ましたか。,なんじかん ねましたか。,How many hours did you sleep?
w137,～から,～から,from; since,suffix,work,時間,14,九時から仕事です。,くじから しごとです。,Work starts at nine.
w138,～まで,～まで,until; up to,suffix,work,時間,14,今日も夜まで頑張ります。,きょうも よるまで がんばります。,I'll keep doing my best until tonight too.
w139,～番,～ばん,[number] number; order,suffix,work,数え方,15,私の番号は三番です。,わたしの ばんごうは さんばんです。,My number is three.
w140,～枚,～まい,[number] flat objects,suffix,work,数え方,15,紙を二枚ください。,かみを にまい ください。,"Two sheets of paper, please."
w141,～台,～だい,[number] machines/vehicles,suffix,work,数え方,15,車が二台あります。,くるまが にだい あります。,There are two cars.
w142,～冊,～さつ,[number] bound books/volumes,suffix,work,数え方,15,本を三冊読みました。,ほんを さんさつ よみました。,I read three books.
w143,～回,～かい,[number] times,suffix,work,数え方,15,この歌を三回聞きました。,この うたを さんかい ききました。,I listened to this song three times.
w144,～本,～ほん,[number] long cylindrical objects,suffix,work,数え方,15,ペンを二本買いました。,ぺんを にほん かいました。,I bought two pens.
w145,～杯,～はい,[number] cups/glasses,suffix,work,数え方,15,水を一杯飲みます。,みずを いっぱい のみます。,I drink a glass of water.
f001,友達,ともだち,friend,noun,friend,どんな人?,16,友達と笑う時間が好きです。,ともだちと わらう じかんが すきです。,I like the time I spend laughing with my friends.
f002,どんな,どんな,what kind of; what sort of,determiner,friend,どんな人?,16,あなたはどんな人ですか。,あなたは どんな ひとですか。,What kind of person are you?
f003,人,ひと,person; people,noun,friend,どんな人?,16,大切な人がいます。,たいせつな ひとが います。,There is someone important to me.
f004,親切な,しんせつな,kind; helpful,adjective,friend,どんな人?,16,あの人はとても親切です。,あの ひとは とても しんせつです。,That person is very kind.
f005,みんな,みんな,everyone; everybody,pronoun,friend,どんな人?,16,みんなで写真を撮ります。,みんなで しゃしんを とります。,We all take a picture together.
f006,元気な,げんきな,healthy; energetic; well,adjective,friend,どんな人?,16,いつも元気な友達がいます。,いつも げんきな ともだちが います。,I have a friend who is always cheerful.
f007,きれいな,きれいな,pretty; beautiful; clean,adjective,friend,どんな人?,16,きれいな目をしています。,きれいな めを して います。,They have beautiful eyes.
f008,ハンサムな,はんさむな,handsome,adjective,friend,どんな人?,16,あの人はハンサムです。,あの ひとは はんさむです。,That person is handsome.
f009,かわいい,かわいい,cute; adorable,adjective,friend,どんな人?,16,その子はとてもかわいいです。,その こは とても かわいいです。,That child is very cute.
f010,かっこいい,かっこいい,cool; good-looking,adjective,friend,どんな人?,16,あの人はかっこいいです。,あの ひとは かっこいいです。,That person is cool.
f011,頭がいい,あたまがいい,smart; clever,expression,friend,どんな人?,16,彼は頭がいいです。,かれは あたまが いいです。,He is smart.
f012,優しい,やさしい,kind; gentle,adjective,friend,どんな人?,16,私の友達は優しいです。,わたしの ともだちは やさしいです。,My friend is kind.
f013,ユーモア,ゆーもあ,humor,noun,friend,どんな人?,16,あの人はユーモアがあります。,あの ひとは ゆーもあが あります。,That person has a sense of humor.
f014,背,せ,height; stature,noun,friend,どんな人?,16,彼は背が高いです。,かれは せが たかいです。,He is tall.
f015,高い,たかい,tall; high; expensive,adjective,friend,どんな人?,16,私より兄のほうが背が高いです。,わたしより あにの ほうが せが たかいです。,My older brother is taller than me.
f016,低い,ひくい,short; low,adjective,friend,どんな人?,16,私は背が低いです。,わたしは せが ひくいです。,I am short.
f017,目,め,eye,noun,friend,どんな人?,16,その人の目が好きです。,その ひとの めが すきです。,I like that person's eyes.
f018,大きい,おおきい,big; large,adjective,friend,どんな人?,16,彼は大きい目をしています。,かれは おおきい めを して います。,He has big eyes.
f019,小さい,ちいさい,small; little,adjective,friend,どんな人?,16,小さい目で笑います。,ちいさい めで わらいます。,They smile with their small eyes.
f020,髪,かみ,hair,noun,friend,どんな人?,16,髪が長いですね。,かみが ながいですね。,Your hair is long.
f021,長い,ながい,long,adjective,friend,どんな人?,16,私は髪が長いです。,わたしは かみが ながいです。,I have long hair.
f022,短い,みじかい,short,adjective,friend,どんな人?,16,彼は髪が短いです。,かれは かみが みじかいです。,He has short hair.
f023,服,ふく,clothes; clothing,noun,friend,シャツを着ています,17,この服を着て、出かけたいです。,この ふくを きて、でかけたいです。,I want to put on these clothes and go out.
f024,サイズ,さいず,size,noun,friend,シャツを着ています,17,このシャツのサイズはちょうどいいです。,この しゃつの さいずは ちょうど いいです。,This shirt is just the right size.
f025,素敵な,すてきな,wonderful; lovely; nice,adjective,friend,シャツを着ています,17,素敵な服を見つけました。,すてきな ふくを みつけました。,I found a lovely outfit.
f026,デザイン,でざいん,design,noun,friend,シャツを着ています,17,このデザインが好きです。,この でざいんが すきです。,I like this design.
f027,着る,きる,to wear; to put on,verb,friend,シャツを着ています,17,新しい服を着て、写真を撮ります。,あたらしい ふくを きて、しゃしんを とります。,I put on new clothes and take a picture.
f028,脱ぐ,ぬぐ,to take off clothes,verb,friend,シャツを着ています,17,家に帰って、コートを脱ぎます。,いえに かえって、こーとを ぬぎます。,I go home and take off my coat.
f029,赤い,あかい,red,adjective,friend,シャツを着ています,17,赤い服を着たいです。,あかい ふくを きたいです。,I want to wear red clothes.
f030,青い,あおい,blue,adjective,friend,シャツを着ています,17,青い空に青い服がよく似合います。,あおい そらに あおい ふくが よく にあいます。,Blue clothes look good under the blue sky.
f031,白い,しろい,white,adjective,friend,シャツを着ています,17,白いシャツを着て歩きます。,しろい しゃつを きて あるきます。,I walk wearing a white shirt.
f032,黒い,くろい,black,adjective,friend,シャツを着ています,17,黒いコートが好きです。,くろい こーとが すきです。,I like black coats.
f033,黄色い,きいろい,yellow,adjective,friend,シャツを着ています,17,黄色い服は明るく見えます。,きいろい ふくは あかるく みえます。,Yellow clothes look bright.
f034,いろいろな,いろいろな,various; different kinds of,adjective,friend,シャツを着ています,17,いろいろな服を見ました。,いろいろな ふくを みました。,I looked at various clothes.
f035,シャツ,しゃつ,shirt,noun,friend,シャツを着ています,17,今日は白いシャツを着ます。,きょうは しろい しゃつを きます。,I'm wearing a white shirt today.
f036,セーター,せーたー,sweater,noun,friend,シャツを着ています,17,寒い日はセーターを着ます。,さむい ひは せーたーを きます。,I wear a sweater on cold days.
f037,コート,こーと,coat,noun,friend,シャツを着ています,17,冬はいつもコートを着ます。,ふゆは いつも こーとを きます。,I always wear a coat in winter.
f038,スーツ,すーつ,suit,noun,friend,シャツを着ています,17,今日はスーツを着ます。,きょうは すーつを きます。,I'm wearing a suit today.
f039,上着,うわぎ,jacket; outerwear,noun,friend,シャツを着ています,17,上着を持って行きます。,うわぎを もって いきます。,I'll take a jacket with me.
f040,下着,したぎ,underwear,noun,friend,シャツを着ています,17,旅行に下着を持って行きます。,りょこうに したぎを もって いきます。,I take underwear with me on the trip.
f041,着物,きもの,kimono; traditional Japanese clothing,noun,friend,シャツを着ています,17,お祭りで着物を着たいです。,おまつりで きものを きたいです。,I want to wear a kimono at the festival.
f042,履く,はく,to wear; to put on (shoes; trousers; skirts),verb,friend,スカートをはきます,18,新しい靴を履きます。,あたらしい くつを はきます。,I put on new shoes.
f043,ズボン,ずぼん,trousers; pants,noun,friend,スカートをはきます,18,黒いズボンを履いています。,くろい ずぼんを はいて います。,I'm wearing black pants.
f044,ジーンズ,じーんず,jeans,noun,friend,スカートをはきます,18,ジーンズを履いて出かけます。,じーんずを はいて でかけます。,I put on jeans and go out.
f045,パンツ,ぱんつ,pants; underwear,noun,friend,スカートをはきます,18,新しいパンツを買いました。,あたらしい ぱんつを かいました。,I bought new underwear.
f046,スカート,すかーと,skirt,noun,friend,スカートをはきます,18,今日はスカートを履きます。,きょうは すかーとを はきます。,I'm wearing a skirt today.
f047,靴,くつ,shoes,noun,friend,スカートをはきます,18,新しい靴で歩きたいです。,あたらしい くつで あるきたいです。,I want to walk in my new shoes.
f048,靴下,くつした,socks,noun,friend,スカートをはきます,18,靴下を二足買いました。,くつしたを にそく かいました。,I bought two pairs of socks.
f049,かぶる,かぶる,to put on; to wear (on the head),verb,friend,スカートをはきます,18,帽子をかぶって出かけます。,ぼうしを かぶって でかけます。,I put on a hat and go out.
f050,帽子,ぼうし,hat; cap,noun,friend,スカートをはきます,18,赤い帽子をかぶっています。,あかい ぼうしを かぶって います。,I'm wearing a red hat.
f051,眼鏡をかける,めがねをかける,to wear glasses,verb,friend,スカートをはきます,18,朝、眼鏡をかけます。,あさ、めがねを かけます。,I put on my glasses in the morning.
f052,眼鏡,めがね,glasses,noun,friend,スカートをはきます,18,眼鏡をかけると、本がよく見えます。,めがねを かけると、ほんが よく みえます。,"When I put on my glasses, I can see the book well."
f053,サングラス,さんぐらす,sunglasses,noun,friend,スカートをはきます,18,夏はサングラスをかけます。,なつは さんぐらすを かけます。,I wear sunglasses in summer.
f054,指輪をする,ゆびわをする,to wear a ring,verb,friend,スカートをはきます,18,大切な指輪をしています。,たいせつな ゆびわを して います。,I'm wearing an important ring.
f055,ネクタイ,ねくたい,necktie,noun,friend,スカートをはきます,18,父は毎朝ネクタイをします。,ちちは まいあさ ねくたいを します。,My father puts on a tie every morning.
f056,指輪,ゆびわ,ring,noun,friend,スカートをはきます,18,この指輪は母からもらいました。,この ゆびわは ははから もらいました。,I got this ring from my mother.
f057,時計,とけい,watch; clock,noun,friend,スカートをはきます,18,時計を見ました。もう帰る時間です。,とけいを みました。もう かえる じかんです。,I looked at the clock. It's already time to go home.
f058,持つ,もつ,to have; to hold; to carry,verb,friend,スカートをはきます,18,かばんを持って歩きます。,かばんを もって あるきます。,I walk carrying a bag.
f059,かばん,かばん,bag,noun,friend,スカートをはきます,18,かばんの中に本があります。,かばんの なかに ほんが あります。,There is a book in my bag.
f060,財布,さいふ,wallet,noun,friend,スカートをはきます,18,財布を忘れました。,さいふを わすれました。,I forgot my wallet.
f061,遊ぶ,あそぶ,to play; to hang out; to spend time,verb,friend,あそぶ,19,今日は友達と遊びます。,きょうは ともだちと あそびます。,I'm hanging out with my friend today.
f062,案内する,あんないする,to guide; to show around,verb,friend,あそぶ,19,友達を町へ案内します。,ともだちを まちへ あんないします。,I'll show my friend around town.
f063,迎える,むかえる,to pick up; to welcome,verb,friend,あそぶ,19,駅で友達を迎えます。,えきで ともだちを むかえます。,I'll meet my friend at the station.
f064,連れて行く,つれていく,to take someone along; to take someone somewhere,verb,friend,あそぶ,19,友達を好きな店へ連れて行きます。,ともだちを すきな みせへ つれて いきます。,I'll take my friend to my favorite shop.
f065,連れて来る,つれてくる,to bring someone along; to bring someone here,verb,friend,あそぶ,19,明日は友達を連れて来ます。,あしたは ともだちを つれて きます。,I'll bring my friend tomorrow.
f066,動物,どうぶつ,animal,noun,friend,あそぶ,19,動物と一緒にいると楽しいです。,どうぶつと いっしょに いると たのしいです。,It's fun being with animals.
f067,動物園,どうぶつえん,zoo,noun,friend,あそぶ,19,友達と動物園へ行きました。,ともだちと どうぶつえんへ いきました。,I went to the zoo with my friend.
f068,パンダ,ぱんだ,panda,noun,friend,あそぶ,19,パンダを見に行きたいです。,ぱんだを みに いきたいです。,I want to go see pandas.
f069,象,ぞう,elephant,noun,friend,あそぶ,19,象は大きいですね。,ぞうは おおきいですね。,"Elephants are big, aren't they?"
f070,馬,うま,horse,noun,friend,あそぶ,19,馬と一緒に写真を撮りました。,うまと いっしょに しゃしんを とりました。,I took a picture with a horse.
f071,お祭り,おまつり,festival,noun,friend,あそぶ,19,夏のお祭りが好きです。,なつの おまつりが すきです。,I like summer festivals.
f072,お寺,おてら,Buddhist temple,noun,friend,あそぶ,19,朝、お寺へ行きました。,あさ、おてらへ いきました。,I went to a temple in the morning.
f073,神社,じんじゃ,Shinto shrine,noun,friend,あそぶ,19,神社で写真を撮りました。,じんじゃで しゃしんを とりました。,I took a picture at a shrine.
f074,旅行する,りょこうする,to travel; to take a trip,verb,friend,あそぶ,19,いつか日本を旅行したいです。,いつか にほんを りょこうしたいです。,"Someday, I want to travel around Japan."
f075,予約する,よやくする,to reserve; to make a reservation,verb,friend,あそぶ,19,ホテルを予約しました。,ほてるを よやくしました。,I booked a hotel.
f076,ホテル,ほてる,hotel,noun,friend,あそぶ,19,小さなホテルに泊まります。,ちいさな ほてるに とまります。,I'm staying at a small hotel.
f077,泊まる,とまる,to stay overnight; to stay at a hotel,verb,friend,あそぶ,19,友達とホテルに泊まります。,ともだちと ほてるに とまります。,I'm staying at a hotel with my friend.
f078,ロビー,ろびー,lobby,noun,friend,あそぶ,19,ホテルのロビーで友達を待ちます。,ほてるの ろびーで ともだちを まちます。,I wait for my friend in the hotel lobby.
f079,お土産,おみやげ,souvenir; gift,noun,friend,あそぶ,19,友達にお土産を買いました。,ともだちに おみやげを かいました。,I bought a souvenir for my friend.
f080,サービス,さーびす,service,noun,friend,あそぶ,19,このホテルはサービスがいいです。,この ほてるは さーびすが いいです。,This hotel has good service.
f081,ホームステイする,ほーむすていする,to do a homestay,verb,friend,あそぶ,19,日本でホームステイしたいです。,にほんで ほーむすていしたいです。,I want to do a homestay in Japan.
f082,町,まち,town; city,noun,friend,町,20,この町が好きです。,この まちが すきです。,I like this town.
f083,県,けん,prefecture,noun,friend,町,20,私の県は海がきれいです。,わたしの けんは うみが きれいです。,The sea in my prefecture is beautiful.
f084,東京,とうきょう,Tokyo,proper_noun,friend,町,20,東京へ行きたいです。,とうきょうへ いきたいです。,I want to go to Tokyo.
f085,成田,なりた,Narita,proper_noun,friend,町,20,成田から東京へ行きます。,なりたから とうきょうへ いきます。,I go from Narita to Tokyo.
f086,上野,うえの,Ueno,proper_noun,friend,町,20,上野で友達と会います。,うえので ともだちと あいます。,I meet my friend in Ueno.
f087,浅草,あさくさ,Asakusa,proper_noun,friend,町,20,浅草のお寺へ行きました。,あさくさの おてらへ いきました。,I went to a temple in Asakusa.
f088,新宿,しんじゅく,Shinjuku,proper_noun,friend,町,20,新宿で晩ご飯を食べます。,しんじゅくで ばんごはんを たべます。,I have dinner in Shinjuku.
f089,秋葉原,あきはばら,Akihabara,proper_noun,friend,町,20,秋葉原でゲームを見ます。,あきはばらで げーむを みます。,I look at games in Akihabara.
f090,渋谷,しぶや,Shibuya,proper_noun,friend,町,20,渋谷の町を歩きます。,しぶやの まちを あるきます。,I walk around Shibuya.
f091,銀座,ぎんざ,Ginza,proper_noun,friend,町,20,銀座で買い物をします。,ぎんざで かいものを します。,I go shopping in Ginza.
f092,鎌倉,かまくら,Kamakura,proper_noun,friend,町,20,鎌倉へ行って、お寺を見ます。,かまくらへ いって、おてらを みます。,I go to Kamakura and see the temples.
f093,横浜,よこはま,Yokohama,proper_noun,friend,町,20,横浜の海を見たいです。,よこはまの うみを みたいです。,I want to see the sea in Yokohama.
f094,羽田,はねだ,Haneda,proper_noun,friend,町,20,羽田から家へ帰ります。,はねだから いえへ かえります。,I go home from Haneda.
f095,北海道,ほっかいどう,Hokkaido,proper_noun,friend,町,20,北海道へ旅行したいです。,ほっかいどうへ りょこうしたいです。,I want to travel to Hokkaido.
f096,札幌,さっぽろ,Sapporo,proper_noun,friend,町,20,札幌でラーメンを食べたいです。,さっぽろで らーめんを たべたいです。,I want to eat ramen in Sapporo.
f097,仙台,せんだい,Sendai,proper_noun,friend,町,20,仙台へ行ったことがあります。,せんだいへ いった ことが あります。,I have been to Sendai.
f098,日光,にっこう,Nikko,proper_noun,friend,町,20,日光のお寺を見たいです。,にっこうの おてらを みたいです。,I want to see the temples in Nikko.
f099,富士山,ふじさん,Mount Fuji,proper_noun,friend,町,20,富士山が見たいです。,ふじさんが みたいです。,I want to see Mount Fuji.
f100,金沢,かなざわ,Kanazawa,proper_noun,friend,町,20,金沢でお寿司を食べます。,かなざわで おすしを たべます。,I eat sushi in Kanazawa.
f101,名古屋,なごや,Nagoya,proper_noun,friend,町,20,名古屋で友達に会います。,なごやで ともだちに あいます。,I meet my friend in Nagoya.
f102,京都,きょうと,Kyoto,proper_noun,friend,町,20,京都のお寺が好きです。,きょうとの おてらが すきです。,I like the temples in Kyoto.
f103,奈良,なら,Nara,proper_noun,friend,町,20,奈良で鹿を見たいです。,ならで しかを みたいです。,I want to see deer in Nara.
f104,大阪,おおさか,Osaka,proper_noun,friend,町,20,大阪でたこ焼きを食べたいです。,おおさかで たこやきを たべたいです。,I want to eat takoyaki in Osaka.
f105,神戸,こうべ,Kobe,proper_noun,friend,町,20,神戸の町を歩きます。,こうべの まちを あるきます。,I walk around Kobe.
f106,広島,ひろしま,Hiroshima,proper_noun,friend,町,20,広島へ行ってみたいです。,ひろしまへ いって みたいです。,I want to try going to Hiroshima.
f107,福岡,ふくおか,Fukuoka,proper_noun,friend,町,20,福岡でラーメンを食べました。,ふくおかで らーめんを たべました。,I ate ramen in Fukuoka.
f108,長崎,ながさき,Nagasaki,proper_noun,friend,町,20,長崎の町を見たいです。,ながさきの まちを みたいです。,I want to see the city of Nagasaki.
f109,沖縄,おきなわ,Okinawa,proper_noun,friend,町,20,沖縄の海で泳ぎたいです。,おきなわの うみで およぎたいです。,I want to swim in the sea in Okinawa.
m001,朝,あさ,morning,noun,todays_meal,"あさ,よる",21,朝は静かです。,あさは しずかです。,Mornings are quiet.
m002,昼,ひる,noon; daytime,noun,todays_meal,"あさ,よる",21,昼は友達とご飯を食べます。,ひるは ともだちと ごはんを たべます。,I eat lunch with my friends.
m003,夜,よる,night; evening,noun,todays_meal,"あさ,よる",21,夜の町を歩きます。,よるの まちを あるきます。,I walk around the town at night.
m004,毎朝,まいあさ,every morning,noun,todays_meal,"あさ,よる",21,毎朝、窓を開けます。,まいあさ、まどを あけます。,I open the window every morning.
m005,毎晩,まいばん,every night,noun,todays_meal,"あさ,よる",21,毎晩、本を読みます。,まいばん、ほんを よみます。,I read a book every night.
m006,今朝,けさ,this morning,noun,todays_meal,"あさ,よる",21,今朝はパンを食べました。,けさは ぱんを たべました。,I had bread this morning.
m007,今晩,こんばん,tonight; this evening,noun,todays_meal,"あさ,よる",21,今晩、友達と話します。,こんばん、ともだちと はなします。,I'll talk with my friend tonight.
m008,起きる,おきる,to get up; to wake up,verb,todays_meal,"あさ,よる",21,毎朝七時に起きます。,まいあさ しちじに おきます。,I wake up at seven every morning.
m009,寝る,ねる,to sleep; to go to bed,verb,todays_meal,"あさ,よる",21,夜十一時に寝ます。,よる じゅういちじに ねます。,I go to bed at eleven at night.
m010,見る,みる,to see; to watch,verb,todays_meal,"あさ,よる",21,朝、ニュースを見ます。,あさ、にゅーすを みます。,I watch the news in the morning.
m011,ニュース,にゅーす,news,noun,todays_meal,"あさ,よる",21,朝のニュースを見ます。,あさの にゅーすを みます。,I watch the morning news.
m012,ラジオ,らじお,radio,noun,todays_meal,"あさ,よる",21,夜、ラジオを聞きます。,よる、らじおを ききます。,I listen to the radio at night.
m013,テレビ,てれび,television; TV,noun,todays_meal,"あさ,よる",21,晩ご飯のあとでテレビを見ます。,ばんごはんの あとで てれびを みます。,I watch TV after dinner.
m014,早い,はやい,early; fast,adjective,todays_meal,"あさ,よる",21,今日は起きるのが早いです。,きょうは おきるのが はやいです。,I woke up early today.
m015,遅い,おそい,late; slow,adjective,todays_meal,"あさ,よる",21,今日は寝るのが遅いです。,きょうは ねるのが おそいです。,I'm going to bed late today.
m016,鏡,かがみ,mirror,noun,todays_meal,"あさ,よる",21,朝、鏡を見ます。,あさ、かがみを みます。,I look in the mirror in the morning.
m017,顔,かお,face,noun,todays_meal,"あさ,よる",21,朝、顔を洗います。,あさ、かおを あらいます。,I wash my face in the morning.
m018,洗う,あらう,to wash,verb,todays_meal,"あさ,よる",21,朝、顔を洗います。,あさ、かおを あらいます。,I wash my face in the morning.
m019,お風呂,おふろ,bath; bathtub,noun,todays_meal,"あさ,よる",21,夜、お風呂に入ります。,よる、おふろに はいります。,I take a bath at night.
m020,入る,はいる,to enter; to take a bath; to go in,verb,todays_meal,"あさ,よる",21,夜、お風呂に入ります。,よる、おふろに はいります。,I take a bath at night.
m021,シャワー,しゃわー,shower,noun,todays_meal,"あさ,よる",21,朝、シャワーを浴びます。,あさ、しゃわーを あびます。,I take a shower in the morning.
m022,浴びる,あびる,to take; to shower; to bathe,verb,todays_meal,"あさ,よる",21,朝、シャワーを浴びます。,あさ、しゃわーを あびます。,I take a shower in the morning.
m023,歯,は,tooth; teeth,noun,todays_meal,"あさ,よる",21,毎朝、歯を磨きます。,まいあさ、はを みがきます。,I brush my teeth every morning.
m024,磨く,みがく,to brush; to polish,verb,todays_meal,"あさ,よる",21,寝る前に歯を磨きます。,ねる まえに はを みがきます。,I brush my teeth before bed.
m025,食べる,たべる,to eat,verb,todays_meal,"たべる,のむ",22,好きなものを食べたいです。,すきな ものを たべたいです。,I want to eat what I like.
m026,飲む,のむ,to drink,verb,todays_meal,"たべる,のむ",22,朝、水を飲みます。,あさ、みずを のみます。,I drink water in the morning.
m027,食べ物,たべもの,food,noun,todays_meal,"たべる,のむ",22,好きな食べ物は何ですか。,すきな たべものは なんですか。,What food do you like?
m028,朝ご飯,あさごはん,breakfast,noun,todays_meal,"たべる,のむ",22,朝ご飯をゆっくり食べます。,あさごはんを ゆっくり たべます。,I eat breakfast slowly.
m029,昼ご飯,ひるごはん,lunch,noun,todays_meal,"たべる,のむ",22,友達と昼ご飯を食べます。,ともだちと ひるごはんを たべます。,I eat lunch with my friend.
m030,晩ご飯,ばんごはん,dinner,noun,todays_meal,"たべる,のむ",22,晩ご飯は家で食べます。,ばんごはんは いえで たべます。,I eat dinner at home.
m031,たくさん,たくさん,many; much; a lot,adverb,todays_meal,"たべる,のむ",22,今日はたくさん食べました。,きょうは たくさん たべました。,I ate a lot today.
m032,スーパー,すーぱー,supermarket,noun,todays_meal,"たべる,のむ",22,スーパーで野菜を買います。,すーぱーで やさいを かいます。,I buy vegetables at the supermarket.
m033,肉,にく,meat,noun,todays_meal,"たべる,のむ",22,肉を食べたいです。,にくを たべたいです。,I want to eat meat.
m034,牛肉,ぎゅうにく,beef,noun,todays_meal,"たべる,のむ",22,牛肉を買いました。,ぎゅうにくを かいました。,I bought beef.
m035,豚肉,ぶたにく,pork,noun,todays_meal,"たべる,のむ",22,豚肉を料理します。,ぶたにくを りょうりします。,I cook pork.
m036,鶏肉,とりにく,chicken; chicken meat,noun,todays_meal,"たべる,のむ",22,鶏肉を食べます。,とりにくを たべます。,I eat chicken.
